,id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet,,,,,,,,,,
0,1.36087E+18,Lycaon,"M√©xico, Tenochtitlan",Etimolog√≠a #N√°huatl | ¬´No se aprende historia para juzgar a los muertos.¬ª | #hace500a√±os | https://t.co/oFeMFoxljI | ?ìß alycaones@gmail.com,2013-07-01 15:44,7363,158,18587,FALSE,2021-02-14 8:49,"Su entendimiento de ¬´sociedad¬ª es dudoso, cualquier grupo de personas que convivan bajo usos y costumbres comunes s??https://t.co/pkSfYDVolm",,Twitter for Android,0,0,FALSE,,,,,,,,,,
1,1.36087E+18,Ele ?íé,Espa√±a,"Soy mi propio libro, me reescribo, me subrayo y dejo en blanco, siempre, la √∫ltima p√°gina. Fashion lover. Dromoman√≠aca y carnavalera ?ó∫?é≠",2010-09-23 18:10,743,953,1425,FALSE,2021-02-14 8:48,Mam√° quiere ser moderna tambi√©n https://t.co/88VXrQkxsi,,Twitter for iPhone,0,0,FALSE,,,,,,,,,,
2,1.36087E+18,Fauch√©,MODENA,il linguaggio dell'universo,2011-12-14 12:02,260,501,4054,FALSE,2021-02-14 8:48,social moderna interattiva https://t.co/4wMMpBn2TS,,TweetDeck,0,0,FALSE,,,,,,,,,,
3,1.36087E+18,Loribeth,,a fangirl for life!,2014-08-17 6:44,24,34,223,FALSE,2021-02-14 8:46,"Update:  Moderna dose 1

First night, sore injection site, couldn?ôt sleep until 2am-ish (I also drank an energy dri??https://t.co/2gm5rJ234x",,Twitter Web App,0,0,FALSE,,,,,,,,,,
4,1.36087E+18,Corrado Soldato ?áÆ?áπ,,"Sovranismo identitario.
¬´Lo Stato: ordine entro certi confini¬ª (Ezra Pound, Canto 99).
No euro, no UE.",2017-02-01 8:20,666,690,27569,FALSE,2021-02-14 8:46,"Consiglio, per chi non lo avesse gi√† letto, questo eccellente articolo di V. Benedetti sulla Teoria monetaria moder??https://t.co/1DmxklAXKw",,Twitter for Android,0,2,FALSE,,,,,,,,,,
5,1.36087E+18,Vincent Sanchis,,"Microbiologist, interested in biocontrol and host-pathogen interactions. Most of my tweets are not science-related.",2015-11-17 9:11,13,27,107,FALSE,2021-02-14 8:46,"AstraZeneca, Pfizer, Moderna... L'efficacit√© des vaccins au banc d'essai
https://t.co/pekw8MhBIf",,Twitter for Android,0,0,FALSE,,,,,,,,,,
6,1.36087E+18,?íïlynn in loff?íï,"Comunidad de Madrid, Espa√±a","dumbcore























                                                      ?ç°?®üå?,2016-10-30 17:54:07,83,110,4933,False,2021-02-14 08:46:05,@brittt_danny Aparentemente soy un legionario"," la verg√ºenza de la china moderna y voy a ser absolutamente unemployable""",,Twitter for Android,0,0,FALSE,,,,,,,,,,,,,,,,
7,1.36087E+18,The People's Vaccine,,"A #COVID19 vaccine must be freely available to everyone, everywhere. No-one is safe until everyone is safe. We need a #PeoplesVaccine, not a profit vaccine.",2020-07-10 12:13,1853,132,373,FALSE,2021-02-14 8:46,"Big pharma MUST share the science, tech &amp; know-how behind their vaccines with the world.

It?ôs the best way to keep??https://t.co/anfgkgukpN",,Twitter Web App,1,1,FALSE,,,,,,,,,,
8,1.36087E+18,covid_vaccinebot,,A bot that reports on Global Coronavirus (COVID-19) Vaccinations from the @OurWorldInData dataset. Bot by biomed PhD Student @ErasmusMC,2021-01-04 12:17,354,178,4,FALSE,2021-02-14 8:45,"?ß™ Vaccines used globally

Moderna:
?á¶?áπ AT ?áß?á™ BE ?áß?á¨ BG ?á®?á¶ CA ?á®?á≠ CH ?á®?áø CZ ?á©?á™ DE ?á©?á∞ DK ?á™?á∏ ES ?á™?á™ EE ?á´?áÆ FI ?á´?á∑ FR ?á¨?á∑ GR ?áÆ?á™??https://t.co/QY58BAIxtM",,,0,0,FALSE,,,,,,,,,,
9,1.36087E+18,Geb. Vis,"Weesp, Nederland","Conspiracy theorist.

E√©n van mijn 365 persoonlijkheden heeft altijd wel een mening!

En nee... niet elke dag een ander!",2019-09-11 10:58,203,256,6798,FALSE,2021-02-14 8:45,"Ze willen de zekerheid hebben dat je de pijp uitgaat! 

LIVE | Moderna mag hoeveelheid vaccin per flesje verhogen https://t.co/1snnnUryRM",,Twitter Web App,0,0,FALSE,,,,,,,,,,
10,1.36087E+18,Smart Arredo,Cesena,"Smart Arredo √® un negozio online specializzato in arredamenti convertibili e salvaspazio per la casa, pensati per chi vive in appartamenti di dimensioni ridotte",2012-10-04 13:24,373,305,33,FALSE,2021-02-14 8:45,"Madia alta moderna Skakko 
Skakko¬†√® una madia alta moderna, che ti permetter√† di arredare una piccola cucina o il s??https://t.co/1H2dbxnwcf",,Tweet Smart Arredo,0,0,FALSE,,,,,,,,,,
11,1.36087E+18,bob swede,,,2010-12-09 23:46,27,6,15753,FALSE,2021-02-14 8:45,'A boomerang effect': Hank Aaron's death is falsely linked to Moderna's Covid vaccine https://t.co/KURhJJHZGu via @nbcnews,,Twitter Web App,1,0,FALSE,,,,,,,,,,
12,1.36087E+18,Zombi,,,2021-01-23 6:04,221,14,189,FALSE,2021-02-14 8:44,La #politica moderna √® un'#espressione della #folle #lotta tra #fazioni di persone per decidere chi pu√≤ impugnare l??https://t.co/SNj3Q4CkdK,"['politica', 'espressione', 'folle', 'lotta', 'fazioni']",Twitter Web App,1,0,FALSE,,,,,,,,,,
